"State","Spend","StuTeaRat","Salary","PrcntTake","SATV","SATM","SATT","xRand1","xRand2","xRand3","xRand4","xRand5","xRand6","xRand7","xRand8","xRand9","xRand10","xRand11","xRand12"
"Alabama",4.405,17.2,31.144,8,491,538,1029,-0.207901249596102,0.975430480120989,0.697159816561028,-0.461373065858197,-0.372392998380476,-0.586950772872907,0.997584688529188,-0.0389799767630033,-0.0485343959118474,0.822557785830181,-0.21174301427471,-0.0747608567207227
"Alaska",8.963,17.6,47.951,47,445,489,934,0.0378588038985896,-0.263789063308154,-1.29295161410892,-0.467127187496556,0.837334331564439,-0.171515556336564,0.234234028296106,0.0326226875138148,-0.38419391943069,-0.780150276092794,-1.64403265480375,0.122416187941117
"Arizona",4.778,19.3,32.175,27,448,496,944,-0.824948269629915,-0.352707598361612,-2.00245382836332,0.131457490040587,0.228556166403639,0.426742360768,-0.00773336440060003,-0.618603207265274,-0.329468627550609,-1.16919019077496,-1.0909205697216,0.338399049979964
"Arkansas",4.459,17.1,28.934,6,482,523,1005,-0.302171846918217,-1.62339851256178,1.34038036621036,0.810939368606006,-0.237944901200319,1.28110279168692,-1.89779992686501,-0.0543988087706234,2.26259356804392,1.76455473812687,0.189463865114513,0.780979593833668
"California",4.992,24,41.078,45,417,485,902,0.211716804102816,0.459005470259833,-0.325939039082781,0.213266522969882,-0.683693045898031,1.28604942561016,-0.550715270243657,0.611201198675577,0.28236716760614,-0.157777006085146,0.362889067146544,-0.418922162463634
"Colorado",5.443,18.4,34.571,29,462,518,980,-2.16403229182597,-0.0143931578121054,-0.780375435972604,-2.07030532315957,1.27426257878373,0.0655092358933079,-0.955373711197829,0.364988894684848,-0.34564929807671,-1.83430238952138,-0.47964974404003,-0.656140384720993
"Connecticut",8.817,14.4,50.045,81,431,477,908,0.745800297539066,-2.08712788592056,1.09607138242938,-1.0820958410687,-0.974589893357658,-0.974402288768164,0.464208998558999,0.123024408690415,-0.165820477214172,-0.466947066255252,0.254544618147036,-1.70239178581694
"Delaware",7.03,16.6,39.076,68,429,468,897,0.00626469413011371,-0.483986585897078,-0.936947323036859,0.680931271317089,1.29990823532695,0.851610729820617,-0.493717502424083,-1.41282018845252,-0.56502493086743,-0.372197817652579,0.057960123513904,-0.0111537299356255
"Florida",5.718,19.1,32.588,48,420,469,889,-0.41341403219141,0.0648330854527052,-0.153562260866496,0.639464507371617,-0.899340796396393,-0.939953831105144,-0.252611027023544,0.407849741850969,-0.36152766049454,1.21453166661767,-1.17465993958882,0.228524423318145
"Georgia",5.193,16.3,32.291,65,406,448,854,-0.165524829699678,-0.819735420781837,0.854629510642926,1.26669280361573,-0.946530916842301,-0.345881770653118,0.455028431847071,0.666574688041714,-0.438941782074635,0.704853378337489,-0.882848902515975,-0.380649102299625
