Longevity,CompanionNumber,Thorax
35,Pregnant8,0.64
37,Pregnant8,0.68
49,Pregnant8,0.68
46,Pregnant8,0.72
63,Pregnant8,0.72
39,Pregnant8,0.76
46,Pregnant8,0.76
56,Pregnant8,0.76
63,Pregnant8,0.76
65,Pregnant8,0.76
56,Pregnant8,0.8
65,Pregnant8,0.8
70,Pregnant8,0.8
63,Pregnant8,0.84
65,Pregnant8,0.84
70,Pregnant8,0.84
77,Pregnant8,0.84
81,Pregnant8,0.84
86,Pregnant8,0.84
70,Pregnant8,0.88
70,Pregnant8,0.88
77,Pregnant8,0.92
77,Pregnant8,0.92
81,Pregnant8,0.92
77,Pregnant8,0.94
40,None0,0.64
37,None0,0.7
44,None0,0.72
47,None0,0.72
47,None0,0.72
47,None0,0.76
68,None0,0.78
47,None0,0.8
54,None0,0.84
61,None0,0.84
71,None0,0.84
75,None0,0.84
89,None0,0.84
58,None0,0.88
59,None0,0.88
62,None0,0.88
79,None0,0.88
96,None0,0.88
58,None0,0.92
62,None0,0.92
70,None0,0.92
72,None0,0.92
75,None0,0.92
96,None0,0.92
75,None0,0.94
46,Pregnant1,0.64
42,Pregnant1,0.68
65,Pregnant1,0.72
46,Pregnant1,0.76
58,Pregnant1,0.76
42,Pregnant1,0.8
48,Pregnant1,0.8
58,Pregnant1,0.8
50,Pregnant1,0.82
80,Pregnant1,0.82
63,Pregnant1,0.84
65,Pregnant1,0.84
70,Pregnant1,0.84
70,Pregnant1,0.84
72,Pregnant1,0.84
97,Pregnant1,0.84
46,Pregnant1,0.88
56,Pregnant1,0.88
70,Pregnant1,0.88
70,Pregnant1,0.88
72,Pregnant1,0.88
76,Pregnant1,0.88
90,Pregnant1,0.88
76,Pregnant1,0.92
92,Pregnant1,0.92
21,Virgin1,0.68
40,Virgin1,0.68
44,Virgin1,0.72
54,Virgin1,0.76
36,Virgin1,0.78
40,Virgin1,0.8
56,Virgin1,0.8
60,Virgin1,0.8
48,Virgin1,0.84
53,Virgin1,0.84
60,Virgin1,0.84
60,Virgin1,0.84
65,Virgin1,0.84
68,Virgin1,0.84
60,Virgin1,0.88
81,Virgin1,0.88
81,Virgin1,0.88
48,Virgin1,0.9
48,Virgin1,0.9
56,Virgin1,0.9
68,Virgin1,0.9
75,Virgin1,0.9
81,Virgin1,0.9
48,Virgin1,0.92
68,Virgin1,0.92
16,Virgin8,0.64
19,Virgin8,0.64
19,Virgin8,0.68
32,Virgin8,0.72
33,Virgin8,0.72
33,Virgin8,0.74
30,Virgin8,0.76
42,Virgin8,0.76
42,Virgin8,0.76
33,Virgin8,0.78
26,Virgin8,0.8
30,Virgin8,0.8
40,Virgin8,0.82
54,Virgin8,0.82
34,Virgin8,0.84
34,Virgin8,0.84
47,Virgin8,0.84
47,Virgin8,0.84
42,Virgin8,0.88
47,Virgin8,0.88
54,Virgin8,0.88
54,Virgin8,0.88
56,Virgin8,0.88
60,Virgin8,0.88
44,Virgin8,0.92
