"Happiness","Assets","Debt"
3,0,0
3,10000,0
3,30000,0
3,40000,0
1,21000,0
3,20000,0
2,20000,0
2,0,0
4,0,0
2,20000,0
3,5000,5000
5,30000,0
3,40000,0
3,5500,0
4,50000,0
3,10000,0
3,15000,0
2,20000,0
4,0,0
3,40000,0
4,30000,0
3,0,0
3,48000,0
3,50000,0
5,1e+05,32000
4,50000,0
3,25000,0
4,1500,0
4,95000,0
4,0,150000
4,21000,0
4,115000,0
4,30000,0
3,1e+05,0
3,15000,0
3,40000,0
4,15000,50000
4,30000,0
3,150000,0
3,30000,0
3,10000,0
3,3e+05,0
4,20000,0
3,10000,0
4,2e+05,0
3,50000,0
4,45000,2000
4,70000,0
3,80000,0
4,10000,0
4,30000,2000
4,43000,0
4,50000,0
2,40000,0
3,18000,1e+05
4,2000,0
2,18000,0
3,30000,0
4,20000,0
3,25000,0
3,30000,0
3,20000,0
2,0,40000
4,0,0
3,40000,0
3,0,0
3,20000,0
4,0,0
2,0,0
3,30000,0
4,0,0
4,20000,0
4,80000,0
3,10000,0
1,7000,0
3,20000,0
3,1e+05,0
4,50000,0
4,50000,0
3,0,0
3,18000,0
3,0,5000
4,20000,0
5,0,0
1,0,0
4,60000,0
2,0,0
3,0,0
5,0,0
2,0,0
4,1e+05,0
3,0,0
2,0,0
4,125000,0
4,50000,0
3,30000,0
4,50000,0
4,0,0
4,0,30000
4,0,0
2,1e+05,0
4,40000,0
1,0,60000
3,15000,0
3,30000,0
3,70000,0
3,20000,0
4,35000,0
4,0,0
3,0,0
3,20000,23000
4,0,0
4,0,0
4,0,0
4,0,0
4,30000,0
3,0,0
1,0,0
4,8800,0
3,0,0
3,15000,0
3,10000,0
3,10000,0
3,0,0
4,0,0
4,2e+05,7000
4,80000,0
4,3000,0
3,60000,0
3,27920,0
3,30000,0
5,40000,0
4,50000,0
3,50000,0
4,6000,0
1,20000,0
4,40000,3468.92
4,5000,0
3,3000,0
4,0,0
4,0,0
4,40000,0
1,0,0
4,8000,0
4,0,0
2,0,12000
5,10000,0
4,20000,0
5,1000,0
4,50000,0
5,10000,20000
3,5000,30000
4,50000,0
5,30000,0
3,0,0
3,1e+05,0
4,0,0
3,30000,0
4,65000,0
4,40000,0
3,50000,0
4,50000,0
4,60000,0
3,30000,0
3,40000,0
3,20000,0
5,1e+05,0
4,50000,0
4,80000,0
3,10000,0
4,0,0
4,50000,250000
4,80000,0
2,50000,0
4,20000,50000
4,80000,0
3,10000,0
3,0,0
4,0,90000
3,0,0
5,240000,0
4,80000,0
4,30000,150000
2,0,0
3,1e+05,0
4,10000,0
4,0,350000
3,50000,60000
2,0,0
2,0,3000
4,50000,51200
3,250000,50000
4,30000,0
4,260000,0
3,20000,0
3,50000,0
4,50000,0
4,60000,0
4,40000,0
4,70000,0
3,40000,0
3,40000,0
4,50000,0
4,1e+05,0
4,40000,0
3,60000,0
4,50000,0
2,30000,0
3,80000,0
4,80000,0
4,50000,0
3,30000,0
3,15000,0
4,50000,0
4,60000,0
4,50000,0
2,10000,0
3,50000,0
4,90000,0
4,40000,0
4,30000,0
3,20000,0
3,20000,0
4,10000,0
5,50000,0
4,30000,0
5,1e+05,0
3,40000,0
4,1e+05,0
5,20000,0
4,80000,0
4,20000,0
4,10000,1e+05
4,1e+05,0
3,0,0
3,0,125500
1,3000,0
4,50000,0
3,3000,0
3,30000,30000
3,5000,0
1,0,20000
4,3000,0
3,3000,0
4,0,0
2,20000,0
4,10000,0
4,0,0
4,40000,0
4,10000,0
4,60000,0
3,50000,0
3,70000,0
3,80000,0
4,10000,0
3,13000,0
3,5000,0
3,0,0
4,1e+05,0
4,20000,0
3,0,0
4,0,0
4,0,0
4,0,20000
4,1e+05,0
4,30000,0
4,0,0
3,0,26000
2,40000,0
4,70000,0
3,20000,0
4,25000,0
4,10000,0
3,70000,0
4,30000,0
4,70000,0
4,50000,0
3,70000,0
2,120000,0
3,50000,0
3,50000,0
3,50000,0
3,1e+05,0
4,50000,0
3,20000,0
2,2e+05,0
4,0,0
3,0,0
4,80000,0
3,15000,0
5,50000,0
3,20000,0
3,35000,0
3,10000,0
3,80000,0
3,0,0
3,40000,0
3,40000,0
3,20000,0
3,4e+05,0
3,10000,0
4,40000,0
1,180000,0
4,90000,0
4,130000,0
5,50000,0
4,0,0
4,2e+05,0
4,10000,0
3,20000,0
3,50000,0
5,140000,0
2,10000,0
3,0,0
4,1e+05,0
4,30000,0
3,40000,0
4,20000,0
2,15000,0
4,80000,0
4,80000,0
4,20000,0
3,10000,0
4,25000,0
3,60000,0
4,50000,0
3,26000,0
5,20000,0
4,50000,0
3,25000,0
4,2000,0
3,0,20000
4,8000,0
2,4000,1000
4,82000,0
4,0,0
2,20000,0
4,0,0
3,1e+05,0
2,0,44000
4,40000,0
4,50000,0
5,35000,0
4,110000,0
4,0,0
2,0,35000
3,2000,3000
2,30000,0
3,10000,0
3,8000,0
2,0,50000
4,25000,0
4,10000,0
2,0,0
4,80000,0
4,10000,0
3,84000,0
3,16000,0
4,0,35000
4,1000,0
3,50000,0
3,11000,0
5,15000,0
3,45000,0
4,1e+05,0
4,10000,0
4,0,0
4,0,0
3,0,0
4,0,0
3,4800,3732
4,0,150000
2,80000,0
4,40000,0
4,80000,0
4,50000,0
5,0,150000
3,50000,0
4,20000,0
3,50000,0
4,80000,0
2,50000,0
4,10000,0
3,25000,6500
3,20000,0
4,30000,0
4,20000,0
5,60000,0
4,15000,0
4,20000,0
4,13000,0
3,14000,0
1,0,0
4,0,0
3,5000,0
4,30000,0
3,10000,0
3,0,0
3,0,0
5,0,0
2,0,0
4,60000,0
3,50000,0
4,10000,0
4,50000,0
3,35000,0
4,30000,0
2,20000,0
3,10000,0
3,40000,0
4,0,0
4,0,0
3,20000,0
4,50000,0
2,20000,0
4,0,0
3,0,0
2,0,1e+05
4,0,0
2,0,50000
4,10000,0
4,35000,0
3,0,0
3,0,3e+05
4,50000,0
4,0,0
2,45000,0
4,90000,0
4,4605,110000
4,10000,0
4,5000,0
3,6000,0
4,40000,0
4,40000,2e+05
4,40000,0
2,0,0
3,0,0
4,5000,0
4,24380,0
3,150000,0
4,20000,0
4,150000,0
3,40000,0
2,0,0
4,30000,0
4,10000,0
4,180000,0
