"male","height","weight"
0,64,136.4
0,62.3,215.1
1,67.9,173.6
0,64.2,117.3
0,64.8,123.3
0,57.5,96.5
0,65.6,178.3
1,70.2,191.1
0,63.9,158
1,71.1,193.9
1,66.5,127.1
0,68.1,147.9
0,62.9,119
1,75.1,204.4
1,64.6,143.4
1,69.2,124.4
1,68.1,140.9
1,72.6,164.7
0,63.2,139.8
0,64.1,110.2
0,64.1,134.1
1,71.5,193.6
1,76,180
1,69.7,155
1,73.3,188.2
0,61.7,187.4
0,66.4,139.2
0,65.7,147.9
1,68.3,178.6
0,66.9,111.1
0,62.4,119.2
0,64.5,184.4
0,60.6,100.1
1,70.8,207.3
0,61,159.8
0,66,120.7
0,59.6,102.8
1,70.1,195.7
1,66.6,130.1
0,59.8,156.5
1,68.5,113.7
0,61.4,119.1
0,64.7,142.8
1,67.4,179.9
1,68.3,166.3
1,67.3,135.4
0,62.5,118.9
1,72.4,173.9
0,64.4,117.8
1,70.6,192.6
0,66.3,122
0,65.9,129.5
0,61.1,116.9
1,67.8,177.1
0,64.4,160.1
1,71.2,199.5
0,64.5,111
1,65.4,177.4
1,67,187.9
1,70.9,177.1
0,62.4,185.3
1,70.4,223.5
1,64.6,128.4
1,69.6,184.4
0,65.9,122.1
1,70.6,216.8
1,65.4,173.8
1,73.9,197.8
1,70.1,181.1
0,64.8,136.6
0,59.7,105
1,69.2,150.1
0,61.4,125
1,70.4,172.2
1,71.1,143.9
0,60.8,132
0,68.3,110.7
1,67.4,155.9
0,63.5,174.9
1,66.8,176.6
1,73.4,167.1
0,64.8,133.5
1,68.9,211.4
1,66.5,150.6
0,64.7,144.7
0,66.2,120.7
1,69.1,222.5
1,66,168.4
0,60.9,134.3
1,72.4,182.8
1,67.5,187.2
1,71.6,193.4
1,70.6,195.2
0,64.7,131.1
1,72.7,204.5
0,64.7,108.6
0,67.9,128.1
0,65.9,152.7
0,54.6,120.3
0,64.1,183.5
1,68.3,210.6
1,72.9,163.1
0,64,143.9
0,62.1,114.4
1,67.3,170.5
0,60.4,93.2
0,63.4,147.8
0,63.3,161.2
0,61.4,114.6
1,67.7,158
0,65.1,144.5
1,67.5,184
1,67,225
0,65.6,116.9
1,70.9,183.2
0,61.5,131.5
0,59.4,217.1
0,59.7,123.6
1,69,145.9
1,71.7,170.6
0,65.7,133.5
1,67.2,165.9
1,65.9,134.1
0,64.9,111.1
1,73.6,201.1
1,70.5,156.3
0,63.6,161.5
0,64.7,145
1,69.4,159.8
1,69.2,149
0,64.5,222
1,70.9,149.7
0,63.6,130.6
1,73.7,242.5
1,67.6,150
1,65.9,191.3
1,68.1,164.1
0,64.1,135.6
0,61.6,139.4
1,71.2,114.8
0,66.7,191.6
1,71.1,194.7
1,68.6,170
0,62.8,146.9
1,67.6,186.1
0,63.1,125.8
0,65.2,96.2
1,67.4,156.8
0,64.3,117.6
0,59.9,149.6
0,61.9,125.4
0,63.4,140.7
0,59.8,150.2
1,67.7,156.5
0,64.5,137.6
0,67.4,140.3
0,66.1,174.7
1,75.1,186.1
1,67.9,191.3
1,65.7,135.2
0,64.9,130.5
0,64.8,137.1
0,55.3,166.5
0,63,280.5
0,64.1,126
0,64.3,128.3
0,63.8,166.5
0,65.1,124
1,71.8,120.8
0,66.7,193.8
0,64.5,157
0,60.7,190.8
0,59.6,110.9
1,68.4,185.9
0,63.2,163.2
0,66,167.9
0,62.5,119.8
0,67.9,122
1,70.2,178.8
1,70.3,181.1
0,67.1,168.8
0,66.2,120.9
0,62.1,96.5
1,72.4,210.4
0,65.2,139.3
1,72.1,187
1,65.6,146.5
1,67.2,141.8
1,66.2,162
1,66,173.8
0,63.6,160.7
0,65,125.3
0,57.5,125.9
0,63.4,193.7
0,67.2,234.9
0,62.8,156.9
0,65.3,221.2
1,66.7,241.6
1,70.3,170.4
1,68.6,152.6
0,66.4,172.8
0,62.9,176.6
0,57.6,123.5
0,65.3,202.1
1,70.9,182.2
1,68,190.9
1,65.4,146.6
1,67.4,158.5
1,62.8,140.5
1,73.3,168
0,64.6,182
0,70,275.2
1,68.1,164.1
1,69.4,153.5
1,71.9,159.5
0,67.8,141.7
1,63.5,194.1
1,69.8,149.6
0,66.1,157.5
0,62,149.9
1,71.5,210.8
1,71.9,154.5
1,72.6,206.5
0,64.3,123.4
1,71.7,166
1,70.1,160.8
0,64.3,167.6
0,63.9,141.9
1,74.6,186.2
1,65.5,155.7
0,63.1,148.7
1,66.7,132.6
