"Income","Famsz","State"
48075,2,"Alabama"
55631,3,"Alabama"
65311,4,"Alabama"
62431,5,"Alabama"
57482,6,"Alabama"
49656,7,"Alabama"
74073,2,"Alaska"
77544,3,"Alaska"
85422,4,"Alaska"
89221,5,"Alaska"
94893,6,"Alaska"
81200,7,"Alaska"
56894,2,"Arizona"
62066,3,"Arizona"
69452,4,"Arizona"
63472,5,"Arizona"
57657,6,"Arizona"
56663,7,"Arizona"
44415,2,"Arkansas"
48721,3,"Arkansas"
57905,4,"Arkansas"
49443,5,"Arkansas"
51465,6,"Arkansas"
44501,7,"Arkansas"
64878,2,"California"
70890,3,"California"
79477,4,"California"
68073,5,"California"
67499,6,"California"
74290,7,"California"
64985,2,"Colorado"
69977,3,"Colorado"
81644,4,"Colorado"
73105,5,"Colorado"
74100,6,"Colorado"
74289,7,"Colorado"
72586,2,"Connecticut"
86643,3,"Connecticut"
102124,4,"Connecticut"
108055,5,"Connecticut"
89435,6,"Connecticut"
89260,7,"Connecticut"
60953,2,"Delaware"
70075,3,"Delaware"
88725,4,"Delaware"
78364,5,"Delaware"
86105,6,"Delaware"
69190,7,"Delaware"
68892,2,"District of Columbia"
69294,3,"District of Columbia"
60418,4,"District of Columbia"
82458,5,"District of Columbia"
30253,6,"District of Columbia"
51720,7,"District of Columbia"
52259,2,"Florida"
58574,3,"Florida"
69009,4,"Florida"
66248,5,"Florida"
63759,6,"Florida"
66941,7,"Florida"
55258,2,"Georgia"
61104,3,"Georgia"
68502,4,"Georgia"
63364,5,"Georgia"
64654,6,"Georgia"
59212,7,"Georgia"
67199,2,"Hawaii"
77539,3,"Hawaii"
91483,4,"Hawaii"
86463,5,"Hawaii"
89544,6,"Hawaii"
117593,7,"Hawaii"
51474,2,"Idaho"
52765,3,"Idaho"
62051,4,"Idaho"
58400,5,"Idaho"
57479,6,"Idaho"
61398,7,"Idaho"
60052,2,"Illinois"
71329,3,"Illinois"
81465,4,"Illinois"
76898,5,"Illinois"
70010,6,"Illinois"
76118,7,"Illinois"
52554,2,"Indiana"
59650,3,"Indiana"
70873,4,"Indiana"
69530,5,"Indiana"
65006,6,"Indiana"
64880,7,"Indiana"
55284,2,"Iowa"
64372,3,"Iowa"
72961,4,"Iowa"
71070,5,"Iowa"
64788,6,"Iowa"
55270,7,"Iowa"
57767,2,"Kansas"
63438,3,"Kansas"
72610,4,"Kansas"
70213,5,"Kansas"
60738,6,"Kansas"
62020,7,"Kansas"
45653,2,"Kentucky"
54683,3,"Kentucky"
64459,4,"Kentucky"
57596,5,"Kentucky"
60480,6,"Kentucky"
60663,7,"Kentucky"
48287,2,"Louisiana"
53461,3,"Louisiana"
66256,4,"Louisiana"
62991,5,"Louisiana"
59281,6,"Louisiana"
54074,7,"Louisiana"
50912,2,"Maine"
62076,3,"Maine"
70374,4,"Maine"
66259,5,"Maine"
72620,6,"Maine"
62269,7,"Maine"
73061,2,"Maryland"
85455,3,"Maryland"
101803,4,"Maryland"
94750,5,"Maryland"
95544,6,"Maryland"
97272,7,"Maryland"
69451,2,"Massachusetts"
82591,3,"Massachusetts"
99648,4,"Massachusetts"
96141,5,"Massachusetts"
104012,6,"Massachusetts"
106985,7,"Massachusetts"
52620,2,"Michigan"
61737,3,"Michigan"
74824,4,"Michigan"
73576,5,"Michigan"
64639,6,"Michigan"
57733,7,"Michigan"
62384,2,"Minnesota"
75073,3,"Minnesota"
86637,4,"Minnesota"
83506,5,"Minnesota"
84013,6,"Minnesota"
66475,7,"Minnesota"
42758,2,"Mississippi"
46685,3,"Mississippi"
58518,4,"Mississippi"
51038,5,"Mississippi"
44196,6,"Mississippi"
44760,7,"Mississippi"
51568,2,"Missouri"
60371,3,"Missouri"
71059,4,"Missouri"
67664,5,"Missouri"
67079,6,"Missouri"
62052,7,"Missouri"
52497,2,"Montana"
58636,3,"Montana"
65827,4,"Montana"
63701,5,"Montana"
63582,6,"Montana"
59479,7,"Montana"
56861,2,"Nebraska"
63702,3,"Nebraska"
72542,4,"Nebraska"
70402,5,"Nebraska"
70199,6,"Nebraska"
65345,7,"Nebraska"
60449,2,"Nevada"
67052,3,"Nevada"
71104,4,"Nevada"
70660,5,"Nevada"
61087,6,"Nevada"
81426,7,"Nevada"
64204,2,"New Hampshire"
79668,3,"New Hampshire"
93926,4,"New Hampshire"
91560,5,"New Hampshire"
97314,6,"New Hampshire"
90152,7,"New Hampshire"
72000,2,"New Jersey"
86070,3,"New Jersey"
103261,4,"New Jersey"
100126,5,"New Jersey"
100992,6,"New Jersey"
98415,7,"New Jersey"
50637,2,"New Mexico"
50630,3,"New Mexico"
55561,4,"New Mexico"
60951,5,"New Mexico"
56930,6,"New Mexico"
61156,7,"New Mexico"
58109,2,"New York"
69421,3,"New York"
82457,4,"New York"
80515,5,"New York"
77393,6,"New York"
78728,7,"New York"
52194,2,"North Carolina"
56930,3,"North Carolina"
67295,4,"North Carolina"
62396,5,"North Carolina"
57644,6,"North Carolina"
51448,7,"North Carolina"
54662,2,"North Dakota"
62635,3,"North Dakota"
75140,4,"North Dakota"
73505,5,"North Dakota"
63750,6,"North Dakota"
49328,7,"North Dakota"
52216,2,"Ohio"
61772,3,"Ohio"
73301,4,"Ohio"
71930,5,"Ohio"
69136,6,"Ohio"
68978,7,"Ohio"
50891,2,"Oklahoma"
54522,3,"Oklahoma"
62037,4,"Oklahoma"
58603,5,"Oklahoma"
55680,6,"Oklahoma"
50884,7,"Oklahoma"
56019,2,"Oregon"
62832,3,"Oregon"
72667,4,"Oregon"
67164,5,"Oregon"
62927,6,"Oregon"
69807,7,"Oregon"
53763,2,"Pennsylvania"
67757,3,"Pennsylvania"
77867,4,"Pennsylvania"
76179,5,"Pennsylvania"
71453,6,"Pennsylvania"
67571,7,"Pennsylvania"
62806,2,"Rhode Island"
76846,3,"Rhode Island"
87002,4,"Rhode Island"
77853,5,"Rhode Island"
84644,6,"Rhode Island"
74797,7,"Rhode Island"
51374,2,"South Carolina"
55296,3,"South Carolina"
65655,4,"South Carolina"
64046,5,"South Carolina"
60504,6,"South Carolina"
54201,7,"South Carolina"
54331,2,"South Dakota"
63153,3,"South Dakota"
70182,4,"South Dakota"
66960,5,"South Dakota"
60732,6,"South Dakota"
59306,7,"South Dakota"
49110,2,"Tennessee"
54014,3,"Tennessee"
64228,4,"Tennessee"
63052,5,"Tennessee"
55590,6,"Tennessee"
56194,7,"Tennessee"
55859,2,"Texas"
59222,3,"Texas"
66381,4,"Texas"
58607,5,"Texas"
54391,6,"Texas"
55052,7,"Texas"
56932,2,"Utah"
61905,3,"Utah"
69990,4,"Utah"
71190,5,"Utah"
80574,6,"Utah"
79855,7,"Utah"
56858,2,"Vermont"
65326,3,"Vermont"
74163,4,"Vermont"
73579,5,"Vermont"
77288,6,"Vermont"
51141,7,"Vermont"
65122,2,"Virginia"
74151,3,"Virginia"
85939,4,"Virginia"
85590,5,"Virginia"
75200,6,"Virginia"
86963,7,"Virginia"
64158,2,"Washington"
72533,3,"Washington"
82716,4,"Washington"
73804,5,"Washington"
67489,6,"Washington"
72990,7,"Washington"
43224,2,"West Virginia"
51836,3,"West Virginia"
58479,4,"West Virginia"
60418,5,"West Virginia"
58353,6,"West Virginia"
45281,7,"West Virginia"
57405,2,"Wisconsin"
68123,3,"Wisconsin"
80530,4,"Wisconsin"
76261,5,"Wisconsin"
68438,6,"Wisconsin"
61223,7,"Wisconsin"
59830,2,"Wyoming"
65820,3,"Wyoming"
76964,4,"Wyoming"
82446,5,"Wyoming"
68660,6,"Wyoming"
86135,7,"Wyoming"
17550,2,"Puerto Rico"
23196,3,"Puerto Rico"
27532,4,"Puerto Rico"
