# http://www.census.gov/hhes/www/income/data/Fam_Inc_SizeofFam1.xls,,,
FamilySize,State,MedianIncome,SampErr
2,Alabama,48177,581
3,Alabama,53323,1177
4,Alabama,64899,1170
5,Alabama,59417,2446
6,Alabama,54099,3781
7,Alabama,47655,3561
2,Alaska,73966,1858
3,Alaska,82276,3236
4,Alaska,87726,3722
5,Alaska,87216,6127
6,Alaska,84488,6761
7,Alaska,77683,5754
2,Arizona,55358,590
3,Arizona,57827,1318
4,Arizona,64434,1219
5,Arizona,58661,1827
6,Arizona,54121,2265
7,Arizona,54832,3306
2,Arkansas,45669,692
3,Arkansas,50050,983
4,Arkansas,56994,1518
5,Arkansas,53238,2622
6,Arkansas,51443,3700
7,Arkansas,50814,4046
2,California,63297,303
3,California,68349,657
4,California,77679,651
5,California,66267,718
6,California,64606,963
7,California,70984,1232
2,Colorado,65229,875
3,Colorado,71355,1206
4,Colorado,84431,1239
5,Colorado,73071,2385
6,Colorado,68120,4318
7,Colorado,63339,3295
2,Connecticut,72839,789
3,Connecticut,84935,1469
4,Connecticut,103173,1415
5,Connecticut,103460,2710
6,Connecticut,97696,6865
7,Connecticut,101858,9782
2,Delaware,62602,1302
3,Delaware,72298,2767
4,Delaware,83557,3441
5,Delaware,83480,5114
6,Delaware,75283,10240
7,Delaware,83110,9756
2,DistrictOfColumbia,80706,5137
3,DistrictOfColumbia,67272,5057
4,DistrictOfColumbia,87902,13651
5,DistrictOfColumbia,58576,10191
6,DistrictOfColumbia,70208,15076
7,DistrictOfColumbia,61757,8962
2,Florida,51217,285
3,Florida,55015,529
4,Florida,65406,776
5,Florida,62125,1079
6,Florida,58502,1812
7,Florida,59116,2944
2,Georgia,52056,515
3,Georgia,57301,834
4,Georgia,67401,987
5,Georgia,60747,1605
6,Georgia,55681,3081
7,Georgia,57073,3183
2,Hawaii,64762,1137
3,Hawaii,77358,1633
4,Hawaii,85350,2697
5,Hawaii,85755,3626
6,Hawaii,98996,4468
7,Hawaii,124167,5622
2,Idaho,49855,990
3,Idaho,54505,1913
4,Idaho,61724,2093
5,Idaho,57921,2760
6,Idaho,58643,4583
7,Idaho,61158,5637
2,Illinois,60233,427
3,Illinois,69975,697
4,Illinois,81770,980
5,Illinois,75412,1187
6,Illinois,70011,2157
7,Illinois,67574,2812
2,Indiana,51802,354
3,Indiana,59757,716
4,Indiana,70504,727
5,Indiana,66952,1790
6,Indiana,63616,1833
7,Indiana,63900,2620
2,Iowa,57458,551
3,Iowa,65035,1029
4,Iowa,76905,1094
5,Iowa,71946,1335
6,Iowa,69108,3727
7,Iowa,64974,3428
2,Kansas,57524,707
3,Kansas,66004,1400
4,Kansas,74073,1187
5,Kansas,71417,2231
6,Kansas,64627,2911
7,Kansas,60580,4067
2,Kentucky,46224,473
3,Kentucky,54177,1047
4,Kentucky,65968,1520
5,Kentucky,60926,1910
6,Kentucky,60030,4222
7,Kentucky,53285,5493
2,Louisiana,47445,609
3,Louisiana,56354,1214
4,Louisiana,68964,1475
5,Louisiana,66363,2801
6,Louisiana,59392,3312
7,Louisiana,54329,4977
2,Maine,52993,884
3,Maine,60947,1786
4,Maine,74481,1615
5,Maine,70839,2970
6,Maine,69870,8336
7,Maine,63378,9438
2,Maryland,75252,644
3,Maryland,87481,1301
4,Maryland,105348,1499
5,Maryland,99174,2891
6,Maryland,93706,3406
7,Maryland,94582,3911
2,Massachusetts,67391,811
3,Massachusetts,83077,1201
4,Massachusetts,102773,1110
5,Massachusetts,105489,1740
6,Massachusetts,99727,4019
7,Massachusetts,89745,4405
2,Michigan,51760,248
3,Michigan,61301,611
4,Michigan,73354,828
5,Michigan,70363,1137
6,Michigan,61331,1967
7,Michigan,53826,2239
2,Minnesota,62853,457
3,Minnesota,75054,794
4,Minnesota,87283,1026
5,Minnesota,84829,1352
6,Minnesota,74479,2647
7,Minnesota,65258,3022
2,Mississippi,42553,797
3,Mississippi,46324,1079
4,Mississippi,57662,1653
5,Mississippi,51349,1970
6,Mississippi,44376,2680
7,Mississippi,45208,4582
2,Missouri,51671,435
3,Missouri,60029,1054
4,Missouri,70896,960
5,Missouri,68915,2194
6,Missouri,65159,3306
7,Missouri,60632,3165
2,Montana,52465,990
3,Montana,58039,1800
4,Montana,68905,2146
5,Montana,61550,3176
6,Montana,63247,8592
7,Montana,67986,7043
2,Nebraska,57327,670
3,Nebraska,66990,1423
4,Nebraska,74484,1316
5,Nebraska,73136,3045
6,Nebraska,67348,4310
7,Nebraska,62723,6915
2,Nevada,57036,991
3,Nevada,59609,1869
