"Subj","Item","Correct"
"1","1",0
"1","2",1
"1","3",0
"1","4",1
"1","5",0
"1","6",0
"1","7",0
"1","8",0
"1","9",1
"1","10",0
"1","11",1
"1","12",0
"2","1",0
"2","2",1
"2","3",0
"2","4",1
"2","5",1
"2","6",0
"2","7",0
"2","8",0
"2","9",0
"2","10",0
"2","11",1
"2","12",0
"3","1",1
"3","2",1
"3","3",1
"3","4",1
"3","5",1
"3","6",1
"3","7",1
"3","8",1
"3","9",1
"3","10",1
"3","11",1
"3","12",0
"4","1",1
"4","2",1
"4","3",1
"4","4",1
"4","5",1
"4","6",0
"4","7",1
"4","8",1
"4","9",1
"4","10",1
"4","11",1
"4","12",1
"5","1",1
"5","2",1
"5","3",1
"5","4",1
"5","5",1
"5","6",0
"5","7",1
"5","8",1
"5","9",1
"5","10",1
"5","11",1
"5","12",0
"6","1",1
"6","2",1
"6","3",0
"6","4",0
"6","5",1
"6","6",0
"6","7",1
"6","8",0
"6","9",0
"6","10",0
"6","11",1
"6","12",0
"7","1",0
"7","2",0
"7","3",0
"7","4",0
"7","5",0
"7","6",0
"7","7",0
"7","8",0
"7","9",0
"7","10",0
"7","11",0
"7","12",0
"8","1",0
"8","2",1
"8","3",1
"8","4",1
"8","5",1
"8","6",0
"8","7",1
"8","8",0
"8","9",0
"8","10",1
"8","11",1
"8","12",1
"9","1",0
"9","2",1
"9","3",0
"9","4",1
"9","5",1
"9","6",1
"9","7",1
"9","8",0
"9","9",0
"9","10",0
"9","11",1
"9","12",1
"10","1",0
"10","2",1
"10","3",0
"10","4",1
"10","5",1
"10","6",0
"10","7",0
"10","8",0
"10","9",0
"10","10",0
"10","11",1
"10","12",0
"11","1",0
"11","2",1
"11","3",0
"11","4",0
"11","5",0
"11","6",0
"11","7",0
"11","8",0
"11","9",0
"11","10",0
"11","11",1
"11","12",0
"12","1",0
"12","2",1
"12","3",1
"12","4",1
"12","5",1
"12","6",0
"12","7",1
"12","8",0
"12","9",0
"12","10",0
"12","11",1
"12","12",1
"13","1",0
"13","2",1
"13","3",1
"13","4",1
"13","5",1
"13","6",0
"13","7",1
"13","8",0
"13","9",0
"13","10",0
"13","11",1
"13","12",0
"14","1",1
"14","2",1
"14","3",1
"14","4",1
"14","5",1
"14","6",0
"14","7",0
"14","8",0
"14","9",1
"14","10",0
"14","11",1
"14","12",1
"15","1",0
"15","2",1
"15","3",1
"15","4",0
"15","5",1
"15","6",0
"15","7",1
"15","8",0
"15","9",1
"15","10",0
"15","11",1
"15","12",0
"16","1",1
"16","2",1
"16","3",1
"16","4",1
"16","5",1
"16","6",1
"16","7",1
"16","8",1
"16","9",1
"16","10",1
"16","11",1
"16","12",1
"17","1",1
"17","2",1
"17","3",1
"17","4",1
"17","5",1
"17","6",0
"17","7",1
"17","8",0
"17","9",0
"17","10",1
"17","11",1
"17","12",1
"18","1",1
"18","2",1
"18","3",1
"18","4",1
"18","5",1
"18","6",0
"18","7",1
"18","8",1
"18","9",1
"18","10",1
"18","11",1
"18","12",0
"19","1",1
"19","2",1
"19","3",1
"19","4",1
"19","5",1
"19","6",0
"19","7",1
"19","8",1
"19","9",1
"19","10",1
"19","11",1
"19","12",1
"20","1",0
"20","2",0
"20","3",0
"20","4",1
"20","5",0
"20","6",0
"20","7",0
"20","8",0
"20","9",0
"20","10",0
"20","11",1
"20","12",0
"21","1",0
"21","2",0
"21","3",0
"21","4",0
"21","5",1
"21","6",0
"21","7",0
"21","8",0
"21","9",0
"21","10",0
"21","11",0
"21","12",0
"22","1",0
"22","2",1
"22","3",0
"22","4",1
"22","5",1
"22","6",0
"22","7",0
"22","8",0
"22","9",1
"22","10",0
"22","11",1
"22","12",0
"23","1",0
"23","2",1
"23","3",1
"23","4",1
"23","5",1
"23","6",0
"23","7",1
"23","8",0
"23","9",0
"23","10",0
"23","11",1
"23","12",1
"24","1",0
"24","2",1
"24","3",1
"24","4",1
"24","5",1
"24","6",1
"24","7",1
"24","8",0
"24","9",1
"24","10",1
"24","11",1
"24","12",1
"25","1",1
"25","2",1
"25","3",1
"25","4",1
"25","5",1
"25","6",0
"25","7",0
"25","8",0
"25","9",0
"25","10",0
"25","11",1
"25","12",1
"26","1",1
"26","2",1
"26","3",1
"26","4",1
"26","5",1
"26","6",1
"26","7",1
"26","8",1
"26","9",1
"26","10",1
"26","11",1
"26","12",1
"27","1",1
