"X","Y"
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",1
"A",2
"A",2
"A",2
"A",2
"A",2
"A",2
"A",2
"A",2
"A",3
"A",3
"A",3
"A",3
"A",4
"B",1
"B",1
"B",1
"B",1
"B",1
"B",1
"B",1
"B",1
"B",1
"B",1
"B",1
"B",1
"B",1
"B",1
"B",1
"B",1
"B",1
"B",1
"B",1
"B",1
"B",1
"B",1
"B",2
"B",2
"B",2
"B",2
"B",2
"B",2
"B",2
"B",2
"B",2
"B",2
"B",2
"B",3
"B",3
"B",3
"B",3
"B",3
"B",3
"B",3
"B",4
"B",4
"B",4
"B",5
