"Group","DaysLive"
"Adlib",89
"Adlib",104
"Adlib",387
"Adlib",465
"Adlib",479
"Adlib",494
"Adlib",496
"Adlib",514
"Adlib",532
"Adlib",536
"Adlib",545
"Adlib",547
"Adlib",548
"Adlib",582
"Adlib",606
"Adlib",609
"Adlib",619
"Adlib",620
"Adlib",621
"Adlib",630
"Adlib",635
"Adlib",639
"Adlib",648
"Adlib",652
"Adlib",653
"Adlib",654
"Adlib",660
"Adlib",665
"Adlib",667
"Adlib",668
"Adlib",670
"Adlib",675
"Adlib",677
"Adlib",678
"Adlib",678
"Adlib",681
"Adlib",684
"Adlib",688
"Adlib",694
"Adlib",695
"Adlib",697
"Adlib",698
"Adlib",702
"Adlib",704
"Adlib",710
"Adlib",711
"Adlib",712
"Adlib",715
"Adlib",716
"Adlib",717
"Adlib",720
"Adlib",721
"Adlib",730
"Adlib",731
"Adlib",732
"Adlib",733
"Adlib",735
"Adlib",736
"Adlib",738
"Adlib",739
"Adlib",741
"Adlib",743
"Adlib",746
"Adlib",749
"Adlib",751
"Adlib",753
"Adlib",764
"Adlib",765
"Adlib",768
"Adlib",770
"Adlib",773
"Adlib",777
"Adlib",779
"Adlib",780
"Adlib",788
"Adlib",791
"Adlib",794
"Adlib",796
"Adlib",799
"Adlib",801
"Adlib",806
"Adlib",807
"Adlib",815
"Adlib",836
"Adlib",838
"Adlib",850
"Adlib",859
"Adlib",894
"Adlib",963
"Restrict",105
"Restrict",193
"Restrict",211
"Restrict",236
"Restrict",302
"Restrict",363
"Restrict",389
"Restrict",390
"Restrict",391
"Restrict",403
"Restrict",530
"Restrict",604
"Restrict",605
"Restrict",630
"Restrict",716
"Restrict",718
"Restrict",727
"Restrict",731
"Restrict",749
"Restrict",769
"Restrict",770
"Restrict",789
"Restrict",804
"Restrict",810
"Restrict",811
"Restrict",833
"Restrict",868
"Restrict",871
"Restrict",875
"Restrict",893
"Restrict",897
"Restrict",901
"Restrict",906
"Restrict",907
"Restrict",919
"Restrict",923
"Restrict",931
"Restrict",940
"Restrict",957
"Restrict",958
"Restrict",961
"Restrict",962
"Restrict",974
"Restrict",979
"Restrict",982
"Restrict",1001
"Restrict",1008
"Restrict",1010
"Restrict",1011
"Restrict",1012
"Restrict",1014
"Restrict",1017
"Restrict",1032
"Restrict",1039
"Restrict",1045
"Restrict",1046
"Restrict",1047
"Restrict",1057
"Restrict",1063
"Restrict",1070
"Restrict",1073
"Restrict",1076
"Restrict",1085
"Restrict",1090
"Restrict",1094
"Restrict",1099
"Restrict",1107
"Restrict",1119
"Restrict",1120
"Restrict",1128
"Restrict",1129
"Restrict",1131
"Restrict",1133
"Restrict",1136
"Restrict",1138
"Restrict",1144
"Restrict",1149
"Restrict",1160
"Restrict",1166
"Restrict",1170
"Restrict",1173
"Restrict",1181
"Restrict",1183
"Restrict",1188
"Restrict",1190
"Restrict",1203
"Restrict",1206
"Restrict",1209
"Restrict",1218
"Restrict",1220
"Restrict",1221
"Restrict",1228
"Restrict",1230
"Restrict",1231
"Restrict",1233
"Restrict",1239
"Restrict",1244
"Restrict",1258
"Restrict",1268
"Restrict",1294
"Restrict",1316
"Restrict",1327
"Restrict",1328
"Restrict",1369
"Restrict",1393
"Restrict",1435
