"Org","OrgName","Cla","Pos","ClaPos","Salary"
"PL","Philosophy","PC","FT2","PC.FT2",72395
"MUTH","Music Theory","PC","FT2","PC.FT2",61017
"ENG","English","PC","FT2","PC.FT2",82370
"CMLT","Comparative Literature","PC","FT2","PC.FT2",68805
"LGED","Language Education","PT","FT3","PT.FT3",63796
"MGMT","Dept Mangement & Entrep","PR","NDW","PR.NDW",219600
"INFO","Informatics","PT","FT3","PT.FT3",98814
"CRIN","Curriculum & Instruction","PR","FT1","PR.FT1",107745
"CRIN","Curriculum & Instruction","PR","NDW","PR.NDW",114275
"PSY","Psychological & Brain Sciences","PR","FT1","PR.FT1",173302
"SOC","Sociology","PR","FT1","PR.FT1",117240
"ECON","Economics","PR","FT1","PR.FT1",152437
"HIST","History","PR","FT1","PR.FT1",131615
"ANTH","Anthropology","PC","FT2","PC.FT2",68575
"LAWS","Maurer School of Law","PR","NDW","PR.NDW",243800
"STAT","Statistics","PT","FT3","PT.FT3",79689
"CMCL","Communication & Culture","PC","FT2","PC.FT2",65864
"ENG","English","PC","FT2","PC.FT2",78978
"CRIN","Curriculum & Instruction","PR","FT1","PR.FT1",82626
"SPHS","Speech & Hearing Sciences","PC","FT2","PC.FT2",95708
"ENG","English","PC","FT2","PC.FT2",67495
"SPHS","Speech & Hearing Sciences","PR","FT1","PR.FT1",111244
"FRIT","French and Italian","PC","FT2","PC.FT2",59678
"MUST","Music School-String Technology","PR","FT1","PR.FT1",165335
"ACTG","School of Business Accounting Department","PT","FT3","PT.FT3",181200
"CHEM","Chemistry","PT","FT3","PT.FT3",80093
"MUVO","Music-Voice Department","PC","FT2","PC.FT2",78435
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",96447
"CEUS","Central Eurasian Studies","PC","FT2","PC.FT2",98059
"SPEA","Public & Environmental Affairs","PR","DST","PR.DST",285000
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",100044
"OADT","Business Operations & Decision Technolog","PC","FT2","PC.FT2",167400
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",120616
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",100775
"ANTH","Anthropology","PR","FT1","PR.FT1",89199
"CHEM","Chemistry","PC","FT2","PC.FT2",133167
