"Field","Till","Fert","Yield"
1,"Chisel","Broad",119
1,"Chisel","Deep",130
1,"Chisel","Surface",123
2,"Chisel","Broad",135
2,"Chisel","Deep",148
2,"Chisel","Surface",134
3,"Chisel","Broad",140
3,"Chisel","Deep",146
3,"Chisel","Surface",142
4,"Chisel","Broad",126
4,"Chisel","Deep",132
4,"Chisel","Surface",131
5,"Chisel","Broad",128
5,"Chisel","Deep",141
5,"Chisel","Surface",153
6,"Chisel","Broad",117
6,"Chisel","Deep",130
6,"Chisel","Surface",123
7,"Chisel","Broad",104
7,"Chisel","Deep",126
7,"Chisel","Surface",120
8,"Chisel","Broad",108
8,"Chisel","Deep",117
8,"Chisel","Surface",118
9,"Chisel","Broad",117
9,"Chisel","Deep",129
9,"Chisel","Surface",127
10,"Chisel","Broad",137
10,"Chisel","Deep",143
10,"Chisel","Surface",144
11,"Chisel","Broad",146
11,"Chisel","Deep",137
11,"Chisel","Surface",134
12,"Chisel","Broad",114
12,"Chisel","Deep",126
12,"Chisel","Surface",128
13,"Moldbrd","Broad",143
13,"Moldbrd","Deep",159
13,"Moldbrd","Surface",148
14,"Moldbrd","Broad",146
14,"Moldbrd","Deep",164
14,"Moldbrd","Surface",154
15,"Moldbrd","Broad",133
15,"Moldbrd","Deep",132
15,"Moldbrd","Surface",143
16,"Moldbrd","Broad",160
16,"Moldbrd","Deep",175
16,"Moldbrd","Surface",167
17,"Moldbrd","Broad",137
17,"Moldbrd","Deep",145
17,"Moldbrd","Surface",148
18,"Moldbrd","Broad",133
18,"Moldbrd","Deep",142
18,"Moldbrd","Surface",132
19,"Moldbrd","Broad",146
19,"Moldbrd","Deep",153
19,"Moldbrd","Surface",137
20,"Moldbrd","Broad",147
20,"Moldbrd","Deep",161
20,"Moldbrd","Surface",153
21,"Moldbrd","Broad",124
21,"Moldbrd","Deep",138
21,"Moldbrd","Surface",133
22,"Moldbrd","Broad",139
22,"Moldbrd","Deep",141
22,"Moldbrd","Surface",145
23,"Ridge","Broad",115
23,"Ridge","Deep",142
23,"Ridge","Surface",148
24,"Ridge","Broad",156
24,"Ridge","Deep",174
24,"Ridge","Surface",174
25,"Ridge","Broad",120
25,"Ridge","Deep",144
25,"Ridge","Surface",145
26,"Ridge","Broad",110
26,"Ridge","Deep",128
26,"Ridge","Surface",147
27,"Ridge","Broad",130
27,"Ridge","Deep",153
27,"Ridge","Surface",154
28,"Ridge","Broad",119
28,"Ridge","Deep",165
28,"Ridge","Surface",150
29,"Ridge","Broad",120
29,"Ridge","Deep",144
29,"Ridge","Surface",135
30,"Ridge","Broad",120
30,"Ridge","Deep",148
30,"Ridge","Surface",140
31,"Ridge","Broad",143
31,"Ridge","Deep",176
31,"Ridge","Surface",169
32,"Ridge","Broad",122
32,"Ridge","Deep",160
32,"Ridge","Surface",158
33,"Ridge","Broad",153
33,"Ridge","Deep",176
33,"Ridge","Surface",165
