"CondOfSubj","nTrlOfSubj","nCorrOfSubj"
1,20,8
1,20,7
1,20,8
1,20,6
1,20,7
1,20,9
1,20,8
1,20,9
1,20,9
1,20,8
1,20,5
1,20,8
1,20,11
1,20,9
1,20,8
1,20,7
1,20,8
1,20,8
1,20,9
1,20,8
2,20,9
2,20,12
2,20,9
2,20,7
2,20,8
2,20,10
2,20,9
2,20,11
2,20,13
2,20,7
2,20,12
2,20,14
2,20,12
2,20,14
2,20,11
2,20,9
2,20,7
2,20,10
2,20,11
2,20,5
3,20,11
3,20,6
3,20,11
3,20,11
3,20,12
3,20,11
3,20,11
3,20,10
3,20,11
3,20,6
3,20,11
3,20,12
3,20,12
3,20,12
3,20,8
3,20,11
3,20,9
3,20,12
3,20,8
3,20,9
4,20,6
4,20,12
4,20,12
4,20,12
4,20,14
4,20,11
4,20,11
4,20,9
4,20,11
4,20,9
4,20,8
4,20,14
4,20,10
4,20,10
4,20,6
4,20,14
4,20,9
4,20,11
4,20,10
4,20,9
